"","Date","n","prob 10%","prob 5%","prob 2.5%","prob 90% of 10%","prob 90% of 5%","prob 90% of 2.5%"
"1",2024-10-15,79,0.997626449870803,0.910332039350065,0.590567757116251,0.999749671042006,0.735279481697418,1.75952297259958e-05
"2",2024-11-15,77,0.997136289125828,0.902672573662798,0.576602010947171,0.999636556385295,0.69214342693454,8.42291321800655e-06
"3",2024-12-15,75,0.996546774139672,0.894404685183553,0.562290047364278,0.999473179250056,0.644950020008365,3.85828480594736e-06
"4",2025-01-15,74,0.996208759968159,0.890029515364731,0.555004726515193,0.999366141500071,0.619943513471697,2.56634802916608e-06
"5",2025-02-15,72,0.995432240925492,0.88076949808704,0.540176987828792,0.999083701585078,0.567449076445893,1.09465686686225e-06
"6",2025-03-15,70,0.994500030987866,0.870792186901422,0.525009427636758,0.998678123231665,0.512255886121062,4.43542435782237e-07
"7",2025-04-15,69,0.993966278720866,0.865519957981374,0.517299630061349,0.998413631335812,0.483926059332534,2.76660778789515e-07
"8",2025-05-15,67,0.992741962373944,0.854378196756461,0.501631585326446,0.997719475157402,0.42646479498741,1.03125748695758e-07
"9",2025-06-15,65,0.991275263412474,0.842398615313312,0.485638146442389,0.99673034635781,0.368937084039577,3.61892209918952e-08
"10",2025-07-15,64,0.990436850286945,0.836078760288282,0.477521983072644,0.996089288976486,0.340550018945372,2.09312905834554e-08
"11",2025-08-15,62,0.988517104183547,0.822746448397702,0.461056870253597,0.994419068947252,0.285358446430483,6.65632209924634e-09
"12",2025-09-15,61,0.987420927900599,0.815720804052192,0.452710708559123,0.993341754127378,0.258880387509479,3.65539047653104e-09
"13",2025-10-15,59,0.984913987605657,0.800917212133947,0.435799073649379,0.990550708209319,0.208924753198671,1.04205306119765e-09
"14",2025-11-15,58,0.983484267476781,0.793125847966449,0.427237154829825,0.988760916489859,0.185719176363137,5.40184421312128e-10
"15",2025-12-15,57,0.981923078830307,0.785065816069038,0.418607104030274,0.986647459321946,0.163850377951368,2.74292903325699e-10
"16",2026-01-15,55,0.978359091753455,0.76811299590478,0.401151301543346,0.981224113279114,0.124473173208538,6.62565730306588e-11
"17",2026-02-15,54,0.976330256605341,0.759206951650767,0.392330289618453,0.977780676385029,0.10708451958408,3.1464967005426e-11
"18",2026-03-15,53,0.974117740908838,0.750005775325959,0.383450638487981,0.973744764476644,0.0912697123477611,1.45866604164808e-11
"19",2026-04-15,51,0.969077348756079,0.730692586531503,0.365526769732937,0.963518556120146,0.064339408807219,2.90451604621247e-12
"20",2026-05-15,50,0.966214140307568,0.720568247679304,0.356488689529702,0.957111019940992,0.0531552953429993,1.24489806852537e-12
"21",2026-06-15,49,0.963096424441412,0.710124192863352,0.34740426019722,0.949675544036649,0.0434111330582483,5.18634380502133e-13
"22",2026-07-15,48,0.959702992206139,0.69935481303165,0.338277047053125,0.941072999283503,0.0350237724070546,2.09757565288542e-13
"23",2026-08-15,47,0.956011063616838,0.688254794345465,0.329110828724654,0.931152266205454,0.0278956683262011,8.22488688104526e-14
"24",2026-09-15,46,0.951996200375518,0.676819164791949,0.319909605743537,0.919751117463568,0.0219183947472662,3.12239765687682e-14
"25",2026-10-15,45,0.947632218591474,0.665043344885583,0.310677609441413,0.906697790635485,0.0169763572777595,1.14588765744453e-14
