"","Date","n","prob 10%","prob 5%","prob 2.5%","prob 90% of 10%","prob 90% of 5%","prob 90% of 2.5%"
"1",2024-10-15,79,0.999757250554968,0.982615395384196,0.864679173962151,0.999997351702722,0.995200451087075,0.354762907778454
"2",2024-11-15,77,0.999700309327122,0.980737280204095,0.857650676094307,0.999995964802423,0.993625049424548,0.308845278546972
"3",2024-12-15,75,0.999630011514965,0.978656266154122,0.850257121466727,0.999993852027229,0.991554315522308,0.264772648730081
"4",2025-01-15,74,0.999588901683294,0.977532911741182,0.846417560478694,0.999992411574176,0.990289143819899,0.243642743494111
"5",2025-02-15,72,0.999492471213944,0.975105719380811,0.838440563291197,0.999988439987832,0.987191168903242,0.203586501909758
"6",2025-03-15,70,0.999373421251782,0.972416309563225,0.830049244750766,0.99998239190014,0.983160871047637,0.166915025971611
"7",2025-04-15,69,0.999303801390869,0.970964536382342,0.825691533077709,0.999978269675649,0.980718688047245,0.14998627844411
"8",2025-05-15,67,0.999140495544283,0.967827741143869,0.816638036110674,0.999966908390437,0.97479475323496,0.119137623191491
"9",2025-06-15,65,0.998938883388004,0.96435206774944,0.807114304915896,0.999949617369868,0.967191287835889,0.0924422318464627
"10",2025-07-15,64,0.998820981542226,0.962475860788884,0.802168517862457,0.999937838325828,0.962633559402453,0.0806657882780448
"11",2025-08-15,62,0.998544421657069,0.958422006414276,0.791893246929607,0.999905395451519,0.951713901754938,0.0601932427862382
"12",2025-09-15,61,0.998382690730077,0.956233690962396,0.786557176338058,0.999883304974269,0.945221079059236,0.051443670483642
"13",2025-10-15,59,0.998003321888984,0.951505474750577,0.775471059921692,0.999822497911011,0.929808076095154,0.0367219651955903
"14",2025-11-15,58,0.997781468765538,0.948953131316397,0.769713907611991,0.999781120797761,0.920730769934452,0.0306507756694175
"15",2025-12-15,57,0.997534965295042,0.94626645401726,0.763809136012299,0.99973013385247,0.91062894432973,0.0253645689682471
"16",2026-01-15,55,0.99695674727783,0.94046144489447,0.751541497448835,0.9995899481422,0.887004957300689,0.0169019098788545
"17",2026-02-15,54,0.996618608086477,0.937327836731022,0.74517076661419,0.999494675502839,0.873307012169266,0.0135987126624366
"18",2026-03-15,53,0.996242897873864,0.934029301822128,0.738636683706861,0.99937739177814,0.858235872941883,0.0108294993887002
"19",2026-04-15,51,0.995361602313412,0.926902273487122,0.725061600217606,0.999055498080759,0.82364658538084,0.00664720880718129
"20",2026-05-15,50,0.99484622479268,0.923055024723287,0.718011897659083,0.998837150180559,0.803981173727363,0.00511812857711478
"21",2026-06-15,49,0.994273583102978,0.919005289182407,0.710781433496495,0.998568762609658,0.782653491904422,0.00389253632759868
"22",2026-07-15,48,0.993637314558864,0.914742409665692,0.703365572816918,0.998239028954298,0.759619158094718,0.00292243164119834
"23",2026-08-15,47,0.992930349509849,0.910255168069149,0.695759561863506,0.997834147621178,0.734851404232191,0.0021645649198161
"24",2026-09-15,46,0.992144832788721,0.905531755862262,0.687958524988211,0.997337293141125,0.70834467882563,0.00158058612866001
"25",2026-10-15,45,0.991272036431912,0.900559743012908,0.67995746152637,0.996727983595767,0.680118323786455,0.00113703687347924
