"","0 to 1","1 to 2","2 to 3","3 to 4","4 to 5","5 to 6","6 to 7","7 to 8","8 to 9","9 to 10","10 to 11","11 to 12","12 to 13"
"2",-2.80767161974736,-2.83793032025335,-6.26451821012303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",-1.58672940062722,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",2.40385258344724,-0.513027783045151,-32.5920277291065,-0.536737155107545,-0.218113398294372,6.49153941966792,NA,NA,NA,NA,NA,NA,NA
"5",-1.38981032724393,-7.05491319298637,-0.652000063449562,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",3.40976530040026,-1.09382225846214,2.03138429700096,-0.737562038538818,0.388701037995819,-2.66509923330793,NA,NA,NA,NA,NA,NA,NA
"7",1.87128008541164,NA,NA,0.19999999999999,-1.46054707516584,NA,NA,NA,NA,NA,NA,NA,NA
"8",-0.176063140974885,-11.6723774932806,0.0554384507922309,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",-1.4239881840239,-5.47123586072962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",-0.556712429958467,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",0.343850124760027,1.12216233558037,5.66447879873644,-0.588701037995786,0.737562038538818,-3.10867306930913,2.9598120687661,NA,NA,NA,NA,NA,NA
"12",2.69960540973477,-1.31342912298605,-4.22316198996176,-10.2472391274233,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",0.343850124760027,2.46204769123956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",-2.84913825455691,-6.10543222978478,-5.11297051981701,-18.9082961037934,-11.7807642282215,-6.67001615883233,-1.40014319685093,3.72638601126402,46.3780448077247,NA,NA,NA,NA
"15",-5.64701898011776,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",4.22928134621649,-0.49555733050687,0.524381805702456,0.592279724075485,-4.5764636517403,-8.51167359243198,0.294026028787405,-0.0432466553220779,0.998911158738092,0,0,10.2265915961661,-1.57111103077024
"17",3.85328812910196,-3.32887596174988,0.434772046848591,0.890648292968263,2.29723066757431,-5.31880647924546,-2.82929608759566,NA,NA,NA,NA,NA,NA
"18",-10.1558244613559,NA,NA,25.993742989717,-1.13756203853878,NA,NA,NA,NA,NA,NA,NA,NA
"19",5.30974408401855,NA,NA,NA,-1.1596686290355,NA,NA,NA,NA,NA,NA,NA,NA
"20",-14.8421480827986,-21.6591510758944,-0.338233032848355,28.0819883565959,9.39131385369893,NA,NA,NA,NA,NA,NA,NA,NA
"21",5.78794758402638,0.711686074622812,0.247982554412662,-1.10852962957851,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",-9.25247439307164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",NA,NA,NA,-0.959668629035536,-1.13756203853878,-1.05587624611966,0.63794601234245,NA,NA,NA,NA,3.52564630847375,0
"24",7.14580027930041,-1.98659896177331,-6.7062230980513,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",-1.04533309542987,NA,NA,0.399999999999981,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",1.74881793735714,5.19279966181878,NA,NA,NA,NA,1.57883130669481,-16.189235056188,0,-0.309748810356591,-0.0414442116536684,0.0414442116536684,0
"27",-1.1316837984756,NA,NA,4.41767078330066,NA,NA,NA,NA,-1.44457728411544,NA,NA,NA,NA
"28",1.26580798780775,NA,NA,NA,NA,-0.148861000543033,NA,NA,NA,-27.9725456915875,2.19819863291768,-4.05439012719189,NA
"29",3.2723086496361,0.245363711574316,2.96486916145196,0.647982554412677,-0.247982554412696,-1.84924811316161,2.37163666475531,NA,NA,NA,NA,0.610330402907337,3.22035914393187
"30",-9.36724272159936,NA,NA,1.88064549344516,-1.88064549344516,-1.13756203853881,2.27639819531218,-2.86509923330795,-1.47934933096404,NA,NA,NA,NA
"31",-6.83580070536077,-5.0342356542831,-0.774897514128637,18.3783002072416,-1.30852962957853,-21.1910382220966,NA,NA,NA,NA,NA,NA,NA
"32",-2.52317313011362,NA,NA,0.855876246119666,2.25076069149719,-4.2218717222675,NA,NA,NA,NA,NA,NA,NA
"33",-27.3080200182977,2.37933026852949,-2.66568067628678,0.104318780775273,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",1.23045369088062,-0.0495343062508764,2.6155649270571,0.148861000543033,-0.348861000542999,-0.388701037995819,NA,NA,NA,NA,NA,NA,NA
"35",-9.98481933446828,-12.2304157194698,-9.33927394070334,-0.666807972633876,-0.0181133982942301,-6.07797540673935,NA,NA,NA,NA,NA,NA,NA
"36",-2.58902399096936,-6.53295637577028,6.14149657714628,NA,NA,-2.86509923330807,NA,NA,NA,NA,NA,NA,NA
"37",-2.68780743735252,2.69773917904062,2.5051243592813,0.399999999999981,0,-0.911686074622802,NA,NA,NA,NA,NA,NA,NA
"38",1.18293663213594,NA,NA,-2.27639819531211,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",4.02031082341338,-2.5130782813182,3.2782220133703,-0.388701037995777,-1.76098475986464,2.54968579786042,NA,NA,NA,NA,NA,NA,NA
"40",1.77621087979079,0.354196398555026,3.81707210224758,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",-1.95782851437037,3.4123375401739,0.948861000543019,-0.548861000543016,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",-3.15080753892631,NA,NA,-0.588701037995786,0,-1.61792325109716,1.02564352702168,NA,NA,NA,NA,NA,NA
"43",2.20337002634653,NA,NA,NA,36.7906448113801,-9.77294915190888,NA,NA,NA,NA,NA,NA,NA
"44",-3.15894811918538,-0.45837158850343,3.88286496396131,1.64924811316163,-1.24924811316164,0.388701037995819,NA,NA,NA,NA,NA,NA,NA
"45",-2.90934371416591,NA,NA,-1.4637287137901,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46",-9.98481933446828,-50.3135461892035,-7.74224656942821,-9.00131911883572,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47",2.3502580662996,4.7010382020524,1.44924811316163,0.247982554412662,0,-0.959668629035474,NA,NA,-0.748861000542998,NA,NA,NA,NA
"48",2.91505610096937,NA,NA,-0.937562038538781,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49",3.78908264878801,-2.56574924965475,4.10484384058923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50",3.96316798122403,5.02897596903179,0,0,0.199999999999995,0.388701037995819,2.96033770275112,NA,NA,-0.145177616358943,NA,NA,NA
"51",-0.439879110977326,NA,NA,NA,0.388701037995777,2.66509923330804,2.06039034314333,-0.400525633985007,NA,NA,NA,-3.30867306930909,3.50867306930911
"52",-4.3749048487388,NA,NA,-0.711686074622812,0.959668629035474,0.200000000000025,-3.86834169834455,3.42035914393186,-0.711686074622812,NA,NA,NA,NA
"54",NA,NA,-5.11579517931137,2.22175260531733,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55",0.801736138576107,-1.64065556266179,5.2839442450841,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"56",6.9194922544815,0,0.353530023922908,-0.353530023922908,-1.10852962957851,NA,NA,NA,NA,NA,NA,NA,NA
"57",-2.64235290016985,0.415679748157995,NA,NA,NA,NA,-4.6688673323296,4.4208847779169,0.0479825544126716,NA,NA,NA,NA
"58",5.02226158690721,-1.64686807300456,2.58443011154337,-0.937562038538813,0,2.47639819531217,-2.05986470915826,3.62035914393195,-2.53989640612989,0.00317396549388425,0.877288772308157,2.75981206876608,NA
"59",6.35982362544601,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
