"","Unique","Survey","Length","Sex","Date","Freq","Code","Fate","Latitude","Longitude","seg","vert","x","y","lake","spawn"
"46",16,4,470,"F",2024-12-27,150.4,4,"A",62.7336897,-143.8241897,89,320,516795.171785065,1457673.96243217,FALSE,FALSE
"47",16,5,470,"F",2025-03-17,150.4,4,"A",62.7323047,-143.8269264,89,322,516680.895672181,1457499.66518978,FALSE,FALSE
"48",16,6,470,"F",2025-05-19,150.4,4,"A",62.7546147,-143.7746264,89,243,518933.734370355,1460371.91211289,FALSE,FALSE
"49",16,9,470,"F",2025-09-08,150.4,4,"A",62.91375,-143.77482,110,93,516196.155822755,1477947.04414088,TRUE,FALSE
"50",22,0,376,"F",2024-09-28,150.4,5,"A",62.8921,-143.7311,58,30,518758.356710011,1475896.68726891,FALSE,TRUE
"51",22,1,376,"F",2024-10-16,150.4,5,"A",62.8876,-143.72658,49,12,519062.366653361,1475435.04851106,FALSE,TRUE
"52",22,2,376,"F",2024-10-24,150.4,5,"A",62.84511,-143.69596,76,8,521330.921872151,1470982.63739172,FALSE,FALSE
"53",22,3,376,"F",2024-11-01,150.4,5,"A",62.8396997,-143.6935331,76,18,521546.195143812,1470404.23532775,FALSE,FALSE
"54",22,5,376,"F",2025-03-17,150.4,5,"A",62.7516781,-143.7779547,89,255,518816.486163592,1460021.53835485,FALSE,FALSE
"55",22,13,376,"F",2025-10-29,150.4,5,"A",62.75719,-143.77509,89,240,518866.24710674,1460652.74949798,FALSE,FALSE
"56",13,0,330,"M",2024-09-28,150.4,6,"A",62.9022,-143.7605,155,9,517111.586581087,1476782.82811516,FALSE,TRUE
"57",13,1,330,"M",2024-10-16,150.4,6,"A",62.91305,-143.78109,110,92,515894.122410994,1477821.0114081,TRUE,FALSE
"58",13,2,330,"M",2024-10-24,150.4,6,"A",62.91727,-143.75916,86,2,516920.019270046,1478457.60842792,TRUE,FALSE
"59",13,3,330,"M",2024-11-01,150.4,6,"A",62.9144564,-143.7989831,110,87,514973.874324922,1477837.47322096,TRUE,FALSE
"60",13,4,330,"M",2024-12-27,150.4,6,"A",62.9178431,-143.7825931,110,91,515736.744604111,1478338.71737631,TRUE,FALSE
"61",13,5,330,"M",2025-03-17,150.4,6,"A",62.9144414,-143.7921097,110,89,515318.382090167,1477889.13297722,TRUE,FALSE
"62",13,6,330,"M",2025-05-19,150.4,6,"A",62.9239231,-143.7540297,11,118,517062.652916051,1479232.31105712,TRUE,FALSE
"63",13,8,330,"M",2025-07-22,150.4,6,"M",62.9186747,-143.7628714,11,122,516710.062600812,1478583.86227361,TRUE,FALSE
"64",13,9,330,"M",2025-09-08,150.4,6,"M",62.9166,-143.76237,86,2,516770.774032324,1478358.6311861,TRUE,FALSE
"65",13,10,330,"M",2025-09-24,150.4,6,"M",62.91797,-143.76056,11,123,516837.898310573,1478524.02056459,TRUE,FALSE
"66",13,11,330,"M",2025-10-10,150.4,6,"M",62.91771,-143.76046,11,123,516847.368526397,1478496.0842349,TRUE,FALSE
"67",13,12,330,"M",2025-10-22,150.4,6,"M",62.91968,-143.76149,11,122,516761.980625126,1478705.63711632,TRUE,FALSE
"68",12,0,338,"M",2024-09-28,150.4,7,"A",62.9022,-143.7605,155,9,517111.586581087,1476782.82811516,FALSE,TRUE
"69",12,1,338,"M",2024-10-16,150.4,7,"A",62.90992,-143.75776,129,3,517116.317072497,1477656.76995308,TRUE,FALSE
"70",12,3,338,"M",2024-11-01,150.4,7,"A",62.9166464,-143.8124897,110,83,514259.985691625,1477974.70209657,TRUE,FALSE
"71",12,4,338,"M",2024-12-27,150.4,7,"A",62.9171364,-143.8148314,110,82,514134.340023877,1478010.69383288,TRUE,FALSE
"72",12,5,338,"M",2025-03-17,150.4,7,"A",62.9117897,-143.7892281,110,90,515508.092388467,1477618.619736,TRUE,FALSE
"73",12,6,338,"M",2025-05-19,150.4,7,"M",62.8818314,-143.7169614,134,6,519643.890670454,1474873.2230924,FALSE,FALSE
"74",12,7,338,"M",2025-06-11,150.4,7,"M",62.8809931,-143.7127114,134,11,519871.39621017,1474813.91022248,FALSE,FALSE
"75",12,8,338,"M",2025-07-22,150.4,7,"M",62.8802614,-143.7151881,134,8,519759.852361099,1474713.72168068,FALSE,FALSE
"76",12,13,338,"M",2025-10-29,150.4,7,"M",62.87975,-143.71522,134,9,519767.069762668,1474656.99710376,FALSE,FALSE
"77",10,0,340,"F",2024-09-28,150.4,8,"A",62.9022,-143.7605,155,9,517111.586581087,1476782.82811516,FALSE,TRUE
"78",10,1,340,"F",2024-10-16,150.4,8,"A",62.902,-143.75725,205,1,517277.847634134,1476786.05009623,FALSE,TRUE
"79",10,2,340,"F",2024-10-24,150.4,8,"A",62.8358,-143.68856,1,6,521863.234039055,1470012.66246434,FALSE,FALSE
"80",10,3,340,"F",2024-11-01,150.4,8,"A",62.8354514,-143.6872581,1,7,521934.61923422,1469984.39827101,FALSE,FALSE
"81",10,4,340,"F",2024-12-27,150.4,8,"M",62.8053347,-143.7259664,89,96,520509.950457837,1466354.67948349,FALSE,FALSE
"82",10,5,340,"F",2025-03-17,150.4,8,"M",62.8060747,-143.7285481,89,97,520367.457404714,1466416.17390683,FALSE,FALSE
"83",10,6,340,"F",2025-05-19,150.4,8,"M",62.8054664,-143.7269181,89,97,520459.851926186,1466361.76574094,FALSE,FALSE
"84",10,7,340,"F",2025-06-11,150.4,8,"M",62.8061197,-143.7285231,89,97,520367.938976266,1466421.33964857,FALSE,FALSE
"85",10,8,340,"F",2025-07-22,150.4,8,"M",62.8059114,-143.7297181,89,101,520311.468251047,1466388.97173075,FALSE,FALSE
"86",10,9,340,"F",2025-09-08,150.4,8,"M",62.80528,-143.72628,89,96,520495.131670541,1466346.1805144,FALSE,FALSE
"87",10,11,340,"F",2025-10-10,150.4,8,"M",62.80529,-143.72967,89,100,520324.584284696,1466320.72023012,FALSE,FALSE
"88",10,13,340,"F",2025-10-29,150.4,8,"M",62.80752,-143.72684,89,94,520428.410540331,1466589.17883692,FALSE,FALSE
"89",27,0,442,"M",2024-09-28,150.4,9,"A",62.8921,-143.7311,58,30,518758.356710011,1475896.68726891,FALSE,TRUE
"90",27,1,442,"M",2024-10-16,150.4,9,"A",62.88724,-143.72541,49,13,519127.208600978,1475404.43738125,FALSE,TRUE
"91",27,2,442,"M",2024-10-24,150.4,9,"A",62.85599,-143.69438,60,6,521222.265242121,1472196.50764838,FALSE,FALSE
"92",27,3,442,"M",2024-11-01,150.4,9,"M",62.8792447,-143.7136064,134,15,519856.676755421,1474613.82586148,FALSE,FALSE
"93",27,5,442,"M",2025-03-17,150.4,9,"M",62.7550431,-143.7725414,89,243,519031.364078341,1460435.52540222,FALSE,FALSE
"94",27,6,442,"M",2025-05-19,150.4,9,"M",62.7562197,-143.7741547,89,241,518929.967965183,1460552.88116661,FALSE,FALSE
"95",27,7,442,"M",2025-06-11,150.4,9,"M",62.7530314,-143.7748747,89,247,518948.374603689,1460195.0852383,FALSE,FALSE
"96",27,8,442,"M",2025-07-22,150.4,9,"M",62.7542331,-143.7766097,89,248,518840.419532435,1460314.26559022,FALSE,FALSE
"97",27,9,442,"M",2025-09-08,150.4,9,"M",62.75554,-143.77514,89,242,518892.014175203,1460470.10487097,FALSE,FALSE
"98",27,10,442,"M",2025-09-24,150.4,9,"M",62.75465,-143.77666,89,249,518830.741544143,1460359.92234786,FALSE,FALSE
"99",27,11,442,"M",2025-10-10,150.4,9,"M",62.7552,-143.77823,89,250,518742.269591314,1460408.40961407,FALSE,FALSE
"100",27,12,442,"M",2025-10-22,150.4,9,"M",62.75602,-143.77533,89,241,518874.220348303,1460521.63973449,FALSE,FALSE
"101",27,13,442,"M",2025-10-29,150.4,9,"M",62.75566,-143.77578,89,242,518857.735509262,1460478.35935147,FALSE,FALSE
"102",9,0,348,"M",2024-09-28,150.4,10,"A",62.9022,-143.7605,155,9,517111.586581087,1476782.82811516,FALSE,TRUE
"103",9,1,348,"M",2024-10-16,150.4,10,"A",62.90179,-143.74943,165,4,517673.240534344,1476823.79118394,FALSE,TRUE
"104",9,4,348,"M",2024-12-27,150.4,10,"A",62.9099847,-143.7589031,129,4,517057.951073806,1477655.01510989,TRUE,FALSE
"105",9,5,348,"M",2025-03-17,150.4,10,"M",62.9110914,-143.7636997,129,4,516798.709079203,1477739.90506458,TRUE,FALSE
"106",9,6,348,"M",2025-05-19,150.4,10,"M",62.9088897,-143.7570364,90,2,517170.250978792,1477548.61772233,TRUE,FALSE
"107",9,7,348,"M",2025-06-11,150.4,10,"M",62.9080314,-143.7588997,129,7,517091.653968661,1477439.31721608,TRUE,FALSE
"108",9,8,348,"M",2025-07-22,150.4,10,"M",62.9102714,-143.7589731,129,4,517049.523151925,1477686.13351967,TRUE,FALSE
"109",9,9,348,"M",2025-09-08,150.4,10,"M",62.90808,-143.75847,129,9,517112.34367511,1477448.03045809,TRUE,FALSE
"110",9,11,348,"M",2025-10-10,150.4,10,"M",62.90949,-143.75806,129,4,517108.673239852,1477606.9445033,TRUE,FALSE
"111",9,12,348,"M",2025-10-22,150.4,10,"M",62.90892,-143.76054,129,6,516994.23733238,1477524.68474917,TRUE,FALSE
"112",9,13,348,"M",2025-10-29,150.4,10,"M",62.90868,-143.75852,129,7,517099.538460232,1477513.90569117,TRUE,FALSE
"113",7,0,344,"M",2024-09-28,150.4,11,"A",62.9022,-143.7605,155,9,517111.586581087,1476782.82811516,FALSE,TRUE
"114",7,1,344,"M",2024-10-16,150.4,11,"A",62.90281,-143.76558,155,4,516846.607650374,1476810.65265262,FALSE,TRUE
"115",7,2,344,"M",2024-10-24,150.4,11,"A",62.90468,-143.77988,109,4,516098.122440779,1476905.97503662,FALSE,TRUE
"116",7,3,344,"M",2024-11-01,150.4,11,"A",62.9144747,-143.7934614,110,88,515250.113467781,1477882.32308029,TRUE,FALSE
"117",7,4,344,"M",2024-12-27,150.4,11,"A",62.9144081,-143.7847464,110,91,515687.733886431,1477942.61125568,TRUE,FALSE
"118",7,5,344,"M",2025-03-17,150.4,11,"A",62.9134331,-143.7997581,110,87,514952.556008424,1477718.43920061,TRUE,FALSE
"119",7,6,344,"M",2025-05-19,150.4,11,"A",62.9249847,-143.7727881,19,46,516105.312971912,1479203.64131784,TRUE,FALSE
"120",7,7,344,"M",2025-06-11,150.4,11,"A",62.9126581,-143.7948947,110,88,515209.404565805,1477670.56030883,TRUE,FALSE
"121",7,9,344,"M",2025-09-08,150.4,11,"M",62.91663,-143.80258,110,86,514756.566594144,1478049.66437338,TRUE,FALSE
"122",25,0,425,"M",2024-09-28,150.4,12,"A",62.8921,-143.7311,58,30,518758.356710011,1475896.68726891,FALSE,TRUE
"123",25,1,425,"M",2024-10-16,150.4,12,"A",62.90549,-143.75131,66,1,517515.486530685,1477217.76390235,FALSE,FALSE
"124",25,2,425,"M",2024-10-24,150.4,12,"A",62.8976,-143.74452,58,3,517991.262180657,1476399.33840689,FALSE,TRUE
"125",25,3,425,"M",2024-11-01,150.4,12,"A",62.8802697,-143.7116314,134,14,519938.01288428,1474742.47920981,FALSE,FALSE
"126",25,4,425,"M",2024-12-27,150.4,12,"A",62.8170881,-143.6916947,89,54,522029.202988475,1467921.67745591,FALSE,FALSE
"127",25,6,425,"M",2025-05-19,150.4,12,"M",62.7522514,-143.7766814,89,255,518870.774759413,1460094.81163285,FALSE,FALSE
"128",25,7,425,"M",2025-06-11,150.4,12,"M",62.7512397,-143.7756514,89,256,518939.979093486,1459991.10966101,FALSE,FALSE
"129",25,8,425,"M",2025-07-22,150.4,12,"M",62.7524614,-143.7776914,89,255,518816.320138582,1460110.11703279,FALSE,FALSE
"130",25,9,425,"M",2025-09-08,150.4,12,"M",62.75291,-143.77607,89,248,518890.271303102,1460172.33594838,FALSE,FALSE
"131",25,10,425,"M",2025-09-24,150.4,12,"M",62.75349,-143.77845,89,254,518760.496561469,1460217.80808031,FALSE,FALSE
"132",25,11,425,"M",2025-10-10,150.4,12,"M",62.75704,-143.7791,89,250,518666.93820707,1460604.85697478,FALSE,FALSE
"133",25,12,425,"M",2025-10-22,150.4,12,"M",62.75351,-143.77612,89,248,518877.46952902,1460238.21975,FALSE,FALSE
"134",25,13,425,"M",2025-10-29,150.4,12,"M",62.75471,-143.7766,89,249,518832.734057056,1460367.0185417,FALSE,FALSE
"135",6,0,412,"F",2024-09-28,150.4,13,"A",62.9022,-143.7605,155,9,517111.586581087,1476782.82811516,FALSE,TRUE
"136",6,1,412,"F",2024-10-16,150.4,13,"A",62.90281,-143.76558,155,4,516846.607650374,1476810.65265262,FALSE,TRUE
"137",6,2,412,"F",2024-10-24,150.4,13,"A",62.91269,-143.75841,26,8,517036.204880909,1477957.62947243,TRUE,FALSE
"138",11,0,341,"M",2024-09-28,150.4,14,"A",62.9022,-143.7605,155,9,517111.586581087,1476782.82811516,FALSE,TRUE
"139",11,1,341,"M",2024-10-16,150.4,14,"A",62.8886,-143.72728,49,7,519010.061848359,1475540.0120307,FALSE,TRUE
"140",11,2,341,"M",2024-10-24,150.4,14,"A",62.85366,-143.69716,60,11,521123.032749073,1471917.39174424,FALSE,FALSE
"141",11,3,341,"M",2024-11-01,150.4,14,"A",62.8227031,-143.6858381,89,48,522226.321002847,1468587.78566678,FALSE,FALSE
"142",11,4,341,"M",2024-12-27,150.4,14,"A",62.7384564,-143.8174964,89,312,517051.058992929,1458252.63940576,FALSE,FALSE
"143",11,5,341,"M",2025-03-17,150.4,14,"A",62.7086981,-143.9420064,89,447,511279.225511476,1454000.77894582,FALSE,FALSE
"144",11,6,341,"M",2025-05-19,150.4,14,"A",62.6932197,-144.0401331,12,44,506587.294363861,1451538.18296303,FALSE,FALSE
"145",11,7,341,"M",2025-06-11,150.4,14,"A",62.6852414,-144.0686131,12,61,505282.424360364,1450439.35084256,FALSE,FALSE
"146",11,8,341,"M",2025-07-22,150.4,14,"A",62.6999664,-144.0007931,12,19,508460.002562606,1452584.49682033,FALSE,FALSE
"147",11,9,341,"M",2025-09-08,150.4,14,"A",62.88776,-143.72865,49,3,518955.860851823,1475436.54078546,FALSE,TRUE
"148",11,10,341,"M",2025-09-24,150.4,14,"M",62.89603,-143.74027,58,12,518231.215466853,1476259.10795707,FALSE,TRUE
"149",11,11,341,"M",2025-10-10,150.4,14,"M",62.89578,-143.74064,58,12,518216.974656331,1476228.61142864,FALSE,TRUE
"150",11,12,341,"M",2025-10-22,150.4,14,"M",62.89547,-143.73943,58,18,518282.938570072,1476203.81834606,FALSE,TRUE
"151",11,13,341,"M",2025-10-29,150.4,14,"M",62.89354,-143.7456,100,39,518006.936096733,1475942.53430451,FALSE,FALSE
"152",5,0,345,"F",2024-09-28,150.4,15,"A",62.9022,-143.7605,155,9,517111.586581087,1476782.82811516,FALSE,TRUE
"153",5,1,345,"F",2024-10-16,150.4,15,"A",62.8735,-143.70285,85,5,520495.083639509,1474063.68737088,FALSE,FALSE
"154",5,2,345,"F",2024-10-24,150.4,15,"M",62.86326,-143.69761,118,13,520934.665318687,1472973.98008242,FALSE,FALSE
"155",5,3,345,"F",2024-11-01,150.4,15,"M",62.8619881,-143.6970547,118,15,520984.484571259,1472837.88184872,FALSE,FALSE
"156",5,4,345,"F",2024-12-27,150.4,15,"M",62.8629347,-143.6934247,118,16,521150.211375664,1472970.89447631,FALSE,FALSE
"157",5,5,345,"F",2025-03-17,150.4,15,"M",62.8599514,-143.6940814,68,3,521168.810524095,1472636.30158434,FALSE,FALSE
"158",5,6,345,"F",2025-05-19,150.4,15,"M",62.8616847,-143.6941214,39,1,521136.86042524,1472827.3925503,FALSE,FALSE
"159",5,7,345,"F",2025-06-11,150.4,15,"M",62.8615197,-143.6983697,118,15,520926.612287688,1472775.84156632,FALSE,FALSE
"160",5,8,345,"F",2025-07-22,150.4,15,"M",62.8614014,-143.6953147,39,1,521081.897531082,1472786.74476843,FALSE,FALSE
"161",5,9,345,"F",2025-09-08,150.4,15,"M",62.86082,-143.69542,39,1,521086.658277083,1472721.71552767,FALSE,FALSE
"162",5,10,345,"F",2025-09-24,150.4,15,"M",62.86129,-143.69734,118,15,520982.230115036,1472758.5534115,FALSE,FALSE
"163",5,11,345,"F",2025-10-10,150.4,15,"M",62.86097,-143.69269,39,1,521221.008350304,1472759.70311639,FALSE,FALSE
"164",5,12,345,"F",2025-10-22,150.4,15,"M",62.86087,-143.69721,39,1,520996.004636742,1472713.19315034,FALSE,FALSE
"165",5,13,345,"F",2025-10-29,150.4,15,"M",62.86056,-143.69431,39,1,521146.829536569,1472701.71418157,FALSE,FALSE
"166",17,0,371,"F",2024-09-28,150.4,16,"A",62.8921,-143.7311,58,30,518758.356710011,1475896.68726891,FALSE,TRUE
"167",17,1,371,"F",2024-10-16,150.4,16,"A",62.91603,-143.76035,86,3,516881.713375258,1478311.39991021,TRUE,FALSE
"168",17,2,371,"F",2024-10-24,150.4,16,"A",62.91301,-143.75848,26,4,517027.2053649,1477992.42547637,TRUE,FALSE
"169",17,3,371,"F",2024-11-01,150.4,16,"A",62.9148181,-143.7687547,110,95,516481.605207582,1478112.16631494,TRUE,FALSE
"170",17,4,371,"F",2024-12-27,150.4,16,"A",62.9158564,-143.7798714,110,92,515907.07631287,1478140.43382357,TRUE,FALSE
"171",17,5,371,"F",2025-03-17,150.4,16,"A",62.9019397,-143.7805614,23,2,516110.92959866,1476598.02186998,FALSE,TRUE
"172",17,6,371,"F",2025-05-19,150.4,16,"A",62.8641414,-143.7365031,22,6,518968.604690441,1472766.81088593,FALSE,FALSE
"173",17,7,371,"F",2025-06-11,150.4,16,"A",62.8654547,-143.7416247,57,42,518689.112989319,1472871.83898083,FALSE,FALSE
"174",17,8,371,"F",2025-07-22,150.4,16,"A",62.8634864,-143.7395947,57,43,518824.79134526,1472670.31729068,FALSE,FALSE
"175",17,9,371,"F",2025-09-08,150.4,16,"A",62.8612,-143.74521,57,22,518582.41495512,1472373.94800653,FALSE,FALSE
"176",17,10,371,"F",2025-09-24,150.4,16,"A",62.86068,-143.74431,57,22,518636.505241704,1472323.54678811,FALSE,FALSE
"177",17,11,371,"F",2025-10-10,150.4,16,"A",62.86155,-143.74518,57,22,518577.90327684,1472412.83669269,FALSE,FALSE
"178",17,12,371,"F",2025-10-22,150.4,16,"A",62.92373,-143.76436,19,48,516548.784333373,1479130.5955202,TRUE,FALSE
