"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2.80767161974736,5.64560194000072,11.9101201501237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",1.58672940062722,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",2.40385258344724,2.619289081512,34.5619136689094,35.0986508240169,35.3167642223113,35.3167642223113,NA,NA,37.8076890344389,NA,NA,NA,NA
"5",1.38981032724393,8.4447235202303,9.09672358367986,NA,26.6601177965176,NA,NA,NA,NA,NA,NA,NA,26.6601177965176
"6",3.40976530040026,3.64771131274273,4.58527335128155,4.58527335128155,4.58527335128155,5.56784928813151,NA,NA,NA,NA,NA,NA,NA
"7",1.87128008541164,NA,5.24192127757506,5.44192127757505,5.44192127757505,NA,NA,NA,NA,NA,NA,NA,NA
"8",0.176063140974885,11.8484406342555,11.9038790850477,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",1.4239881840239,6.89522404475353,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",0.556712429958467,NA,NA,1.83168840454879,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",0.343850124760027,1.4660124603404,5.66447879873644,5.66447879873644,5.81333979927947,7.12857458393012,7.12857458393012,NA,NA,NA,NA,NA,NA
"12",2.69960540973477,2.69960540973477,5.53659111294781,15.7838302403712,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",0.343850124760027,2.46204769123956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",2.84913825455691,8.95457048434168,14.0675410041587,32.9758371079521,44.7566013361736,51.4266174950059,52.8267606918568,52.8267606918568,52.8267606918568,NA,NA,NA,NA
"15",5.64701898011776,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",4.22928134621649,4.22928134621649,4.49287786826067,5.08515759233616,6.97069643194889,13.1096651062307,13.2039326152605,13.2039326152605,14.1595971186766,14.1595971186766,14.1595971186766,14.8400598564785,14.8400598564785
"17",3.85328812910196,5.48833669510987,5.92310874195846,6.57898498807813,8.87621565565244,11.0071431743553,11.0071431743553,NA,NA,NA,NA,NA,NA
"18",10.1558244613559,NA,22.8840966273233,26.7125834779896,26.7125834779896,NA,NA,42.5898025947414,NA,NA,NA,NA,NA
"19",5.30974408401855,NA,NA,8.26285099771253,8.26285099771253,NA,NA,NA,NA,NA,NA,NA,NA
"20",14.8421480827986,36.501299158693,36.8395321915414,36.8395321915414,37.4733022102949,NA,NA,NA,NA,NA,NA,NA,NA
"21",5.78794758402638,6.49963365864919,6.74761621306185,6.74761621306185,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",9.25247439307164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",NA,NA,5.50699596797457,5.50699596797457,5.50699596797457,5.50699596797457,5.94494198031702,NA,NA,NA,6.72751791716701,6.72751791716701,6.72751791716701
"24",7.14580027930041,7.24718504623307,10.1106742758637,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",1.04533309542987,NA,4.85901341356189,5.25901341356187,NA,6.2795353627544,NA,NA,NA,NA,NA,NA,NA
"26",1.74881793735714,5.74369290405535,NA,7.59820192985889,NA,7.59820192985889,8.71343671450952,20.0194573008479,20.0194573008479,20.3292061112045,20.3706503228582,20.3706503228582,20.3706503228582
"27",1.1316837984756,NA,5.67093473527345,9.17337073392354,NA,10.3559466707736,NA,10.3559466707736,10.3559466707736,NA,NA,NA,NA
"28",1.26580798780775,NA,NA,NA,2.00337002634657,2.00337002634657,NA,NA,2.00337002634657,29.5023874542018,29.5023874542018,31.358578948476,NA
"29",3.2723086496361,3.51767236121042,6.48254152266238,7.13052407707506,7.13052407707506,7.13052407707506,8.6462844957107,NA,8.6462844957107,NA,8.77932612630991,8.77932612630991,8.77932612630991
"30",9.36724272159936,NA,14.9286606914568,16.809306184902,16.809306184902,16.809306184902,18.4298281340945,18.4298281340945,18.4298281340945,NA,NA,NA,NA
"31",6.83580070536077,11.8700363596439,12.6449338737725,19.3660204726655,19.3660204726655,23.487288117099,NA,NA,NA,NA,NA,NA,NA
"32",2.52317313011362,NA,7.30553131878208,8.16140756490175,10.4121682563989,11.5274030410496,NA,NA,NA,NA,NA,NA,NA
"33",27.3080200182977,27.3080200182977,27.594370426055,27.594370426055,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",1.23045369088062,1.23045369088062,2.87503097499607,3.0238919755391,3.0238919755391,3.0238919755391,NA,NA,NA,NA,NA,NA,NA
"35",9.98481933446829,22.2152350539381,31.5545089946414,32.2213169672753,32.2394303655695,38.3174057723089,NA,NA,NA,NA,NA,NA,NA
"36",2.58902399096936,9.12198036673963,9.12198036673963,NA,14.3345373360541,15.7550592852467,NA,NA,NA,NA,NA,NA,NA
"37",2.68780743735252,2.69773917904062,5.20286353832192,5.6028635383219,5.6028635383219,5.6028635383219,NA,5.6028635383219,NA,NA,NA,NA,NA
"38",1.18293663213594,NA,6.60826528971469,7.66414153583435,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",4.02031082341338,5.45273116237029,7.10583635142078,7.10583635142078,7.21995303828086,7.61995303828087,NA,NA,NA,NA,NA,NA,NA
"40",1.77621087979079,1.77621087979079,5.31340097143872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",1.95782851437037,3.4123375401739,4.36119854071692,4.36119854071692,NA,4.36119854071692,NA,NA,NA,NA,NA,NA,NA
"42",3.15080753892631,NA,5.00531656472985,5.00531656472985,5.00531656472985,5.00531656472985,5.00531656472985,NA,NA,NA,NA,NA,NA
"43",2.20337002634653,NA,NA,37.1395058119231,37.1395058119231,41.4998979945175,NA,NA,NA,NA,NA,NA,NA
