"","0 to 1","1 to 2","2 to 3","3 to 4","4 to 5","5 to 6","6 to 7","7 to 8","8 to 9","9 to 10","10 to 11","11 to 12","12 to 13"
"87","up","down",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","down",NA,NA,"up","up","up","down",NA,NA,NA,NA,NA,NA
"89","up","down","down","up","0","down","up",NA,NA,NA,NA,NA,NA
"90","down","up","up","0",NA,NA,"up","down","down",NA,NA,NA,NA
"92","up","down","up","down","up","down","up","up","down","up",NA,NA,NA
"93","down","up","up","up",NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","down","down","down",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","down","down","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","down","up","up","down","down","up",NA,NA,NA,NA,NA,NA,NA
"97","up","up","up","up","down","down","up",NA,NA,NA,NA,NA,"up"
"98",NA,NA,"up","up",NA,NA,"down",NA,NA,NA,NA,NA,NA
"99","up","0","up","down","down","down","down","up","up",NA,NA,NA,NA
"100","down","down","up",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
